t,seq,v_cmd,w_cmd,omega_meas_l,omega_meas_r,yaw,yaw_rate,wE_l,wE_r,e_psi_deg,r_err_dps,sigma_err,dw_yaw,lam,omega_ref_l,omega_ref_r,pwm_l,pwm_r,vbat,fault_flags
1.1944,73,0.07307763910002904,0.0,2.85335,0.8196,0.16936,0.0,2.24854,2.24854,-9.70355,0.0,0.21765,-0.93048,0.98017,3.13443,1.27348,0.14141574501991272,0.06879933178424835,0.0,0
1.2045,74,0.07408483330000308,0.0,2.85335,0.8196,0.16936,0.0,2.27953,2.27953,-9.70355,0.0,0.21765,-0.93048,0.98017,3.16481,1.30386,0.14141574501991272,0.06879933178424835,0.0,0
1.2144,75,0.07507758860001558,0.0,2.79279,0.82028,0.16936,0.0,2.31008,2.31008,-9.70355,0.0,0.21109,-0.93048,0.98117,3.19705,1.3361,0.14614754915237427,0.07076692581176758,0.0,0
1.2244,76,0.07607741250003527,0.0,2.79279,0.82028,0.16936,0.0,2.34084,2.34084,-9.70355,0.0,0.21109,-0.93048,0.98117,3.22724,1.36629,0.14614754915237427,0.07076692581176758,0.0,0
1.2344,77,0.0770774956000423,0.0,3.31346,0.94275,0.16936,0.0,2.37162,2.37162,-9.70355,0.0,0.25371,-0.93048,0.9756,3.24423,1.38327,0.12111145257949829,0.06594456732273102,0.0,0
1.2444,78,0.07807749160001548,0.0,3.31346,0.94275,0.16936,0.0,2.40238,2.40238,-9.70355,0.0,0.25371,-0.93048,0.9756,3.27425,1.41329,0.12111145257949829,0.06594456732273102,0.0,0
1.2544,79,0.07907777290001831,0.0,2.94752,0.95135,0.16936,0.0,2.43316,2.43316,-9.70338,0.0,0.21363,-0.93046,0.98078,3.31687,1.45594,0.13953034579753876,0.06658066064119339,0.0,0
1.2644,80,0.08007749860007606,0.0,2.94752,0.95135,0.16936,0.0,2.46392,2.46392,-9.70338,0.0,0.21363,-0.93046,0.98078,3.34704,1.48611,0.13953034579753876,0.06658066064119339,0.0,0
1.2745,81,0.0810807613000179,0.0,2.86242,0.95195,0.16936,0.0,2.49479,2.49479,-9.70338,0.0,0.20445,-0.93046,0.98218,3.3808,1.51987,0.16358858346939087,0.08670487999916077,0.0,0
1.2845,82,0.0820792832000734,0.0,2.86242,0.95195,0.16936,0.0,2.52552,2.52552,-9.70338,0.0,0.20445,-0.93046,0.98218,3.41097,1.55005,0.16358858346939087,0.08670487999916077,0.0,0
1.2944,83,0.08307784230000835,0.0,3.09424,1.4139,0.16936,0.0,2.55624,2.55624,-9.70338,0.0,0.17983,-0.93046,0.98571,3.45017,1.58924,0.15336717665195465,0.0656234547495842,0.0,0
1.3044,84,0.08407814570000482,0.0,3.09424,1.4139,0.16936,0.0,2.58702,2.58702,-9.70338,0.0,0.17983,-0.93046,0.98571,3.48051,1.61958,0.15336717665195465,0.0656234547495842,0.0,0
1.3144,85,0.08507864920002248,0.0,2.99514,0.98444,0.16936,0.0,2.6178,2.6178,-9.70338,0.0,0.21518,-0.93046,0.98055,3.49734,1.63642,0.15900905430316925,0.08822695165872574,0.0,0
1.3244,86,0.08607813600001463,0.0,2.99514,0.98444,0.16936,0.0,2.64856,2.64856,-9.70338,0.0,0.21518,-0.93046,0.98055,3.5275,1.66657,0.15900905430316925,0.08822695165872574,0.0,0
1.3344,87,0.08707763390002583,0.0,3.45009,1.4792,0.16936,0.0,2.67931,2.67931,-9.70338,0.0,0.21092,-0.93046,0.98119,3.55939,1.69847,0.13713903725147247,0.0646204724907875,0.0,0
1.3444,88,0.08807763550003074,0.0,3.45009,1.4792,0.16936,0.0,2.71008,2.71008,-9.70338,0.0,0.21092,-0.93046,0.98119,3.58958,1.72866,0.13713903725147247,0.0646204724907875,0.0,0
