probot_pi monitor: link=/dev/serial0@921600
monitor: IDLE heartbeats + telemetry listen (Ctrl-C to stop)

[OK      55Hz age= 12.8ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=204 rx=507 bad=0 drop=0 flt=none
[OK      50Hz age=  8.8ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=208 rx=517 bad=0 drop=0 flt=none
[OK      50Hz age=  3.8ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=212 rx=527 bad=0 drop=0 flt=none
[OK      45Hz age= 19.6ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=216 rx=536 bad=0 drop=0 flt=none
[OK      55Hz age= 14.5ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=220 rx=547 bad=0 drop=0 flt=none
[OK      50Hz age= 10.3ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=224 rx=557 bad=0 drop=0 flt=none
[OK      50Hz age=  5.0ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=228 rx=567 bad=0 drop=0 flt=none
[OK      45Hz age= 17.9ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=232 rx=576 bad=0 drop=0 flt=none
[OK      55Hz age= 14.0ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=236 rx=587 bad=0 drop=0 flt=none
[OK      50Hz age= 10.6ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=240 rx=597 bad=0 drop=0 flt=none
[OK      50Hz age=  7.6ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=244 rx=607 bad=0 drop=0 flt=none
[OK      50Hz age=  4.0ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=248 rx=617 bad=0 drop=0 flt=none
[OK      45Hz age= 18.7ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=252 rx=626 bad=0 drop=0 flt=none
[OK      55Hz age= 13.5ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=256 rx=637 bad=0 drop=0 flt=none
[OK      50Hz age=  9.7ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=260 rx=647 bad=0 drop=0 flt=none
[OK      50Hz age=  7.1ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=264 rx=657 bad=0 drop=0 flt=none
[OK      50Hz age=  3.3ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=268 rx=667 bad=0 drop=0 flt=none
[OK      50Hz age= 16.2ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=272 rx=677 bad=0 drop=0 flt=none
[OK      50Hz age=  7.1ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=276 rx=687 bad=0 drop=0 flt=none
[OK      50Hz age= 17.1ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=280 rx=697 bad=0 drop=0 flt=none
[OK      50Hz age=  9.6ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=284 rx=707 bad=0 drop=0 flt=none
[OK      50Hz age=  0.7ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=288 rx=717 bad=0 drop=0 flt=none
[OK      50Hz age= 14.8ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=292 rx=727 bad=0 drop=0 flt=none
[OK      50Hz age=  8.0ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=296 rx=737 bad=0 drop=0 flt=none
[OK      50Hz age=  1.7ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=300 rx=747 bad=0 drop=0 flt=none
[OK      45Hz age= 19.4ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=304 rx=756 bad=0 drop=0 flt=none
[OK      55Hz age= 16.4ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=308 rx=767 bad=0 drop=0 flt=none
[OK      50Hz age= 13.6ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=312 rx=777 bad=0 drop=0 flt=none
[OK      50Hz age= 11.4ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=316 rx=787 bad=0 drop=0 flt=none
[OK      50Hz age=  8.5ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=320 rx=797 bad=0 drop=0 flt=none
[OK      50Hz age=  5.2ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=324 rx=807 bad=0 drop=0 flt=none
[OK      50Hz age=  2.2ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=328 rx=817 bad=0 drop=0 flt=none
[OK      45Hz age= 16.3ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=332 rx=826 bad=0 drop=0 flt=none
[OK      55Hz age=  7.9ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=336 rx=837 bad=0 drop=0 flt=none
[OK      45Hz age= 19.6ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=340 rx=846 bad=0 drop=0 flt=none
[OK      55Hz age= 15.2ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=344 rx=857 bad=0 drop=0 flt=none
[OK      50Hz age= 12.4ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=348 rx=867 bad=0 drop=0 flt=none
[OK      50Hz age= 10.0ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=352 rx=877 bad=0 drop=0 flt=none
stopped. link stats: {'rx_frames': 883, 'rx_bad': 0, 'tx_frames': 353}
